RepRapFirmware height map file v2 generated at 2023-01-15 13:14, min error -0.073, max error 0.221, mean 0.024, deviation 0.056
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-140.00,140.00,-90.00,90.00,-1.00,20.00,30.00,15,7
  0.022,  0.029,  0.040,  0.053,  0.065,  0.076,  0.084,  0.095,  0.105,  0.116,  0.126,  0.141,  0.160,  0.189,  0.221
  0.011,  0.011,  0.021,  0.032,  0.040,  0.051,  0.061,  0.065,  0.065,  0.072,  0.080,  0.095,  0.109,  0.131,  0.156
 -0.004, -0.000,  0.006,  0.014,  0.021,  0.036,  0.036,  0.036,  0.036,  0.036,  0.040,  0.046,  0.057,  0.076,  0.091
  0.004,  0.000,  0.000,  0.006,  0.011,  0.015,  0.015,  0.011,  0.003, -0.004, -0.004, -0.004,  0.000,  0.011,  0.025
  0.007,  0.002,  0.007,  0.002,  0.007,  0.007,  0.003, -0.004, -0.012, -0.023, -0.030, -0.033, -0.034, -0.030, -0.022
  0.032,  0.022,  0.014,  0.011,  0.010,  0.007, -0.004, -0.011, -0.029, -0.040, -0.048, -0.059, -0.066, -0.063, -0.059
  0.061,  0.046,  0.036,  0.025,  0.021,  0.014,  0.004, -0.008, -0.025, -0.040, -0.055, -0.067, -0.073, -0.073, -0.065
